reservation_id,customer_id,date,time_slot,party_size,status,table_id
R0001,C003,2026-09-05,12:00,2,notified,T04
R0002,C013,2026-09-05,12:00,3,confirmed,T15
R0003,C012,2026-09-05,12:00,2,confirmed,T12
R0004,C001,2026-09-05,13:00,5,confirmed,T06
R0005,C018,2026-09-05,13:00,6,confirmed,T08
R0006,C006,2026-09-05,13:00,4,confirmed,T13
R0007,C002,2026-09-05,18:00,2,offer_sent,T02
R0008,C011,2026-09-05,18:00,4,cancelled,T09
R0009,C003,2026-09-05,18:00,2,cancelled,T19
R0010,C016,2026-09-05,19:00,4,cancelled,T15
R0011,C005,2026-09-05,19:00,3,confirmed,T05
R0012,C012,2026-09-05,20:00,2,cancelled,T05
R0013,C017,2026-09-05,20:00,4,confirmed,T03
R0014,C002,2026-09-05,20:00,1,notified,T05
R0015,C006,2026-09-05,20:00,6,confirmed,T14
R0016,C017,2026-09-05,21:00,3,cancelled,T18
R0017,C001,2026-09-05,21:00,6,offer_sent,T04
R0018,C018,2026-09-05,21:00,3,cancelled,T11
R0019,C004,2026-09-05,21:00,3,confirmed,T14
R0020,C006,2026-09-05,21:00,4,cancelled,T01
R0021,C009,2026-09-05,21:00,5,confirmed,T06
R0022,C012,2026-09-06,12:00,2,confirmed,T18
R0023,C017,2026-09-06,12:00,1,cancelled,T20
R0024,C004,2026-09-06,13:00,3,cancelled,T10
R0025,C008,2026-09-06,13:00,1,cancelled,T08
R0026,C019,2026-09-06,13:00,1,cancelled,T03
R0027,C016,2026-09-06,18:00,5,confirmed,T06
R0028,C009,2026-09-06,18:00,5,cancelled,T20
R0029,C007,2026-09-06,19:00,6,confirmed,T10
R0030,C013,2026-09-06,19:00,6,confirmed,T12
R0031,C015,2026-09-06,19:00,5,confirmed,T15
R0032,C003,2026-09-06,20:00,3,confirmed,T01
R0033,C003,2026-09-06,21:00,6,cancelled,T02
R0034,C011,2026-09-07,12:00,1,confirmed,T17
R0035,C016,2026-09-07,13:00,2,confirmed,T18
R0036,C005,2026-09-07,13:00,6,cancelled,T19
R0037,C019,2026-09-07,13:00,4,confirmed,T08
R0038,C004,2026-09-07,18:00,1,cancelled,T14
R0039,C012,2026-09-07,18:00,4,confirmed,T14
R0040,C015,2026-09-07,18:00,6,cancelled,T02
R0041,C004,2026-09-07,18:00,1,cancelled,T13
R0042,C018,2026-09-07,19:00,4,confirmed,T05
R0043,C015,2026-09-07,20:00,2,confirmed,T03
R0044,C015,2026-09-07,20:00,5,confirmed,T04
R0045,C008,2026-09-07,21:00,2,confirmed,T14
R0046,C007,2026-09-08,12:00,4,cancelled,T02
R0047,C006,2026-09-08,12:00,4,confirmed,T01
R0048,C013,2026-09-08,12:00,3,confirmed,T15
R0049,C010,2026-09-08,12:00,4,confirmed,T18
R0050,C016,2026-09-08,12:00,2,cancelled,T07
R0051,C010,2026-09-08,12:00,2,cancelled,T02
R0052,C002,2026-09-08,13:00,5,cancelled,T16
R0053,C017,2026-09-08,13:00,5,cancelled,T06
R0054,C020,2026-09-08,18:00,1,cancelled,T08
R0055,C008,2026-09-08,19:00,5,confirmed,T20
R0056,C002,2026-09-08,19:00,5,notified,T03
R0057,C014,2026-09-08,19:00,6,confirmed,T19
R0058,C011,2026-09-08,20:00,2,confirmed,T09
R0059,C013,2026-09-08,20:00,2,cancelled,T10
R0060,C015,2026-09-08,21:00,5,confirmed,T19
